date,days_ago,wpm,acc,rawWpm,consistency
2024-01-22,627,64.85,94.55,71.6,63.12
2024-01-23,626,73.96,98.0,73.96,66.25
2024-01-24,625,74.77,96.23,74.77,43.95
2024-01-25,624,93.57,100.0,93.57,60.05
2024-01-26,623,78.21,96.43,78.21,54.11
2024-01-27,622,61.18,86.54,78.89,52.65
2024-01-28,621,59.92,98.28,59.92,56.29
2024-01-29,620,87.63,100.0,87.63,68.03
2024-01-30,619,85.9,100.0,85.9,85.58
2024-01-31,618,72.07,98.15,72.07,40.76
2024-02-01,617,83.33,98.21,83.33,49.41
2024-02-02,616,93.22,87.72,108.44,71.07
2024-02-03,615,102.67,100.0,102.67,84.91
2024-02-04,614,81.61,100.0,81.61,59.32
2024-02-05,613,93.63,100.0,93.63,80.0
2024-02-06,612,89.41,100.0,89.41,78.38
2024-02-07,611,69.52,98.28,69.52,60.76
2024-02-08,610,70.51,100.0,70.51,67.37
2024-02-09,609,56.04,92.16,70.4,50.19
2024-02-10,608,86.36,98.0,86.36,68.6
2024-02-11,607,93.32,100.0,93.32,63.25
2024-02-12,606,76.69,100.0,76.69,67.6
2024-02-13,605,87.06,100.0,87.06,60.58
2024-02-14,604,93.32,100.0,93.32,63.33
2024-02-15,603,75.06,98.31,83.56,73.96
2024-02-16,602,65.52,91.53,65.52,60.57
2024-02-17,601,62.89,87.88,78.29,54.5
2024-02-18,600,93.47,100.0,93.47,81.65
2024-02-19,599,96.11,95.65,96.11,77.83
2024-02-20,598,103.0,100.0,103.0,75.88
2024-02-21,597,60.16,92.16,60.16,48.66
2024-02-22,596,74.26,97.83,74.26,51.09
2024-02-23,595,67.95,92.42,67.95,56.87
2024-02-24,594,75.93,98.08,75.93,47.41
2024-02-25,593,77.43,100.0,77.43,69.57
2024-02-26,592,68.16,96.61,68.16,56.79
2024-02-27,591,92.12,98.33,92.12,74.83
2024-02-28,590,77.19,94.34,87.04,63.87
2024-02-29,589,74.18,100.0,74.18,58.55
2024-03-01,588,69.07,100.0,69.07,66.2
2024-03-02,587,72.09,98.31,72.09,56.98
2024-03-03,586,73.61,100.0,73.61,69.28
2024-03-04,585,78.75,95.45,78.75,65.26
2024-03-05,584,81.22,98.21,81.22,53.5
2024-03-06,583,69.6,98.25,69.6,62.62
2024-03-07,582,78.21,97.83,78.21,78.2
2024-03-08,581,79.01,91.84,79.01,72.11
2024-03-09,580,69.61,97.92,69.61,57.84
2024-03-10,579,67.66,96.67,67.66,57.67
2024-03-11,578,60.22,96.43,60.22,61.44
